                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5539,                  3.668,                 2.5271,                0.00468,                0.16937,                0.00299,                0.00068,                 2.7213,                 4.0098,                 2.8808,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.4903,                 3.7588,                 2.4596,                0.00389,                0.15213,                 0.0025,                0.00064,                 2.6292,                 4.0499,                 2.8804,               0.091896,             0.00089554,             0.00089554
                      2,                 2.6718,                  3.659,                 2.5536,                0.00389,                0.15213,                0.00247,                0.00062,                 2.6183,                 4.0245,                 2.8824,               0.087386,              0.0013861,              0.0013861
                      3,                 2.4859,                 3.5478,                 2.5065,                0.00445,                0.18154,                0.00309,                0.00083,                  2.605,                 3.9187,                 2.8194,               0.082872,              0.0018718,              0.0018718
                      4,                 2.5834,                 3.6155,                 2.5356,                0.00447,                0.18154,                0.00314,                0.00102,                 2.5886,                 3.8151,                 2.7456,               0.078352,              0.0023525,              0.0023525
                      5,                  2.374,                 3.4777,                  2.429,                0.00434,                0.19371,                0.00385,                0.00125,                 2.5957,                 3.7052,                 2.7003,               0.073828,              0.0028282,              0.0028282
                      6,                  2.594,                 3.5997,                 2.5813,                0.00675,                0.29919,                0.01036,                0.00275,                 2.5109,                 3.5478,                 2.6329,               0.069299,               0.003299,               0.003299
                      7,                 2.3625,                 3.2899,                 2.3683,                0.00675,                0.29919,                0.01036,                0.00275,                 2.5109,                 3.5478,                 2.6329,               0.064765,              0.0037649,              0.0037649
                      8,                 2.3268,                 3.1524,                 2.3384,                0.02658,                0.05882,                0.01951,                0.00526,                 2.3884,                 3.3279,                 2.5588,               0.060226,              0.0042258,              0.0042258
                      9,                 2.2376,                 3.2075,                 2.3916,                   0.64,                0.02941,                0.03186,                0.01347,                 2.3468,                 3.2137,                 2.4913,               0.055682,              0.0046817,              0.0046817
                     10,                 2.2737,                 2.8463,                 2.1991,                   0.64,                0.02941,                0.03186,                0.01347,                 2.3468,                 3.2137,                 2.4913,               0.051133,              0.0051327,              0.0051327
                     11,                  2.108,                 2.9411,                  2.184,                0.06479,                0.15213,                0.04274,                0.01745,                 2.1793,                 3.2996,                 2.3737,               0.046579,              0.0055787,              0.0055787
                     12,                 1.9905,                 2.7365,                 2.0684,                0.06479,                0.15213,                0.04274,                0.01745,                 2.1793,                 3.2996,                 2.3737,                0.04202,              0.0060198,              0.0060198
                     13,                 2.0036,                 2.7957,                 2.1248,                0.06479,                0.15213,                0.04274,                0.01745,                 2.1793,                 3.2996,                 2.3737,               0.037456,               0.006456,               0.006456
                     14,                 2.0064,                 2.6923,                 2.1096,                0.09592,                 0.2211,                0.06971,                0.02806,                 2.1093,                 3.2109,                 2.2776,               0.032887,              0.0068872,              0.0068872
                     15,                 1.8949,                 2.6817,                 2.0649,                0.09592,                 0.2211,                0.06971,                0.02806,                 2.1093,                 3.2109,                 2.2776,               0.028313,              0.0073134,              0.0073134
                     16,                 1.8179,                 2.6744,                 2.0137,                0.09592,                 0.2211,                0.06971,                0.02806,                 2.1093,                 3.2109,                 2.2776,               0.023735,              0.0077347,              0.0077347
                     17,                 1.8076,                 2.6568,                 2.0012,                0.10453,                0.20892,                0.08727,                 0.0499,                 1.8872,                 3.3965,                 2.1029,               0.019151,              0.0081511,              0.0081511
                     18,                 1.9423,                 2.6599,                 1.9897,                0.10453,                0.20892,                0.08727,                 0.0499,                 1.8872,                 3.3965,                 2.1029,               0.014562,              0.0085625,              0.0085625
                     19,                 2.0024,                 2.7809,                  2.088,                0.10453,                0.20892,                0.08727,                 0.0499,                 1.8872,                 3.3965,                 2.1029,              0.0099689,              0.0089689,              0.0089689
                     20,                 1.9016,                 2.4899,                 1.9982,                0.12741,                0.22617,                 0.0951,                0.04914,                 1.9063,                 2.7142,                 2.0971,                0.00901,                0.00901,                0.00901
                     21,                 1.7776,                 2.3924,                 1.8887,                0.12741,                0.22617,                 0.0951,                0.04914,                 1.9063,                 2.7142,                 2.0971,                0.00901,                0.00901,                0.00901
                     22,                 1.6874,                 2.3511,                 1.8279,                0.12741,                0.22617,                 0.0951,                0.04914,                 1.9063,                 2.7142,                 2.0971,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6484,                 2.3405,                 1.8528,                0.12613,                0.40568,                0.11078,                0.04592,                 1.9873,                 2.8672,                 2.1224,               0.008911,               0.008911,               0.008911
                     24,                 1.6367,                 2.5061,                 1.8254,                0.12613,                0.40568,                0.11078,                0.04592,                 1.9873,                 2.8672,                 2.1224,              0.0088615,              0.0088615,              0.0088615
