                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4868,                 3.5258,                 2.4777,                0.55836,                0.01724,                0.01561,                 0.0062,                 2.3881,                 3.5948,                 2.5518,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.5538,                 3.5585,                 2.4834,                0.64487,                0.01724,                0.01252,                0.00338,                 2.4141,                 3.5925,                 2.6124,               0.091897,             0.00089703,             0.00089703
                      2,                 2.6725,                 3.5627,                 2.4746,                0.00435,                0.22414,                0.00927,                0.00209,                 2.4636,                 3.5997,                 2.6422,               0.087391,              0.0013908,              0.0013908
                      3,                  2.549,                 3.5286,                 2.4945,                0.00502,                0.25862,                0.00525,                0.00132,                 2.5388,                 3.5579,                 2.7264,               0.082881,              0.0018812,              0.0018812
                      4,                 2.7179,                 3.4514,                 2.5637,                0.00468,                0.24138,                0.00481,                0.00139,                 2.5679,                 3.5468,                 2.7519,               0.078368,              0.0023683,              0.0023683
                      5,                 2.4793,                 3.4818,                 2.4416,                0.00568,                 0.2931,                0.00632,                0.00147,                 2.5522,                 3.5306,                 2.7395,               0.073852,              0.0028522,              0.0028522
                      6,                  2.543,                  3.468,                 2.5355,                0.00567,                 0.2931,                0.00647,                0.00158,                 2.5489,                 3.4969,                 2.7351,               0.069333,              0.0033327,              0.0033327
                      7,                 2.5024,                 3.3402,                 2.4011,                0.00567,                 0.2931,                0.00647,                0.00158,                 2.5489,                 3.4969,                 2.7351,                0.06481,              0.0038099,              0.0038099
                      8,                 2.5462,                 3.3524,                 2.4271,                0.25601,                0.33976,                0.15525,                0.03201,                  2.711,                  3.411,                 2.7986,               0.060284,              0.0042838,              0.0042838
                      9,                 2.4621,                 3.2809,                 2.4506,                0.07712,                0.32252,                0.07074,                0.01544,                 2.6857,                 3.2904,                 2.8053,               0.055754,              0.0047545,              0.0047545
                     10,                 2.5072,                 3.1543,                  2.355,                0.07712,                0.32252,                0.07074,                0.01544,                 2.6857,                 3.2904,                 2.8053,               0.051222,              0.0052218,              0.0052218
                     11,                 2.4608,                 3.2022,                 2.3426,                0.04816,                0.41582,                 0.0448,                0.01201,                 2.5738,                 3.1651,                 2.7091,               0.046686,              0.0056858,              0.0056858
                     12,                  2.204,                 3.1188,                 2.2005,                0.04816,                0.41582,                 0.0448,                0.01201,                 2.5738,                 3.1651,                 2.7091,               0.042147,              0.0061466,              0.0061466
                     13,                 2.2101,                 3.1002,                   2.21,                0.04816,                0.41582,                 0.0448,                0.01201,                 2.5738,                 3.1651,                 2.7091,               0.037604,               0.006604,               0.006604
                     14,                 2.2606,                 3.0868,                 2.2564,                0.02873,                0.17951,                0.03371,                0.01147,                  2.452,                 3.0259,                 2.5623,               0.033058,              0.0070581,              0.0070581
                     15,                 2.1566,                 2.9465,                 2.1862,                0.02873,                0.17951,                0.03371,                0.01147,                  2.452,                 3.0259,                 2.5623,               0.028509,              0.0075089,              0.0075089
                     16,                 2.2153,                   2.97,                 2.2543,                0.02873,                0.17951,                0.03371,                0.01147,                  2.452,                 3.0259,                 2.5623,               0.023956,              0.0079565,              0.0079565
                     17,                 2.1069,                 2.9584,                 2.1697,                 0.1451,                0.06389,                0.04698,                0.02331,                 2.4356,                 2.9428,                 2.4975,               0.019401,              0.0084007,              0.0084007
                     18,                 2.1304,                 2.9044,                 2.0771,                 0.1451,                0.06389,                0.04698,                0.02331,                 2.4356,                 2.9428,                 2.4975,               0.014842,              0.0088416,              0.0088416
                     19,                 2.1599,                 2.9927,                 2.1909,                 0.1451,                0.06389,                0.04698,                0.02331,                 2.4356,                 2.9428,                 2.4975,               0.010279,              0.0092793,              0.0092793
                     20,                 2.1465,                 2.9263,                 2.1594,                0.15912,                0.06389,                0.05341,                0.02981,                 2.4396,                    3.1,                 2.5267,                0.00934,                0.00934,                0.00934
                     21,                  2.081,                 2.8142,                 2.1133,                0.15912,                0.06389,                0.05341,                0.02981,                 2.4396,                    3.1,                 2.5267,                0.00934,                0.00934,                0.00934
                     22,                 2.0218,                 2.8643,                 2.0943,                0.15912,                0.06389,                0.05341,                0.02981,                 2.4396,                    3.1,                 2.5267,               0.009307,               0.009307,               0.009307
                     23,                 1.9068,                 2.7471,                  2.025,                 0.2098,                0.11055,                0.07914,                0.04921,                 2.2843,                 2.8707,                 2.3763,               0.009274,               0.009274,               0.009274
                     24,                 1.8758,                 2.7364,                 2.0282,                 0.2098,                0.11055,                0.07914,                0.04921,                 2.2843,                 2.8707,                 2.3763,               0.009241,               0.009241,               0.009241
                     25,                 2.0213,                   2.75,                 2.0772,                 0.2098,                0.11055,                0.07914,                0.04921,                 2.2843,                 2.8707,                 2.3763,               0.009208,               0.009208,               0.009208
