                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5671,                 3.4205,                 2.4591,                0.00533,                0.16734,                0.00357,                0.00073,                 2.5165,                 3.6138,                 2.5303,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.7132,                 3.5505,                 2.4535,                0.00429,                0.13286,                0.00263,                0.00053,                 2.5444,                 3.5986,                 2.5413,               0.095498,             0.00049835,             0.00049835
                      2,                  2.618,                 3.5934,                 2.4448,                0.00362,                0.10345,                0.00224,                0.00056,                 2.5316,                 3.5996,                 2.5647,               0.092795,             0.00079472,             0.00079472
                      3,                 2.7485,                 3.5672,                 2.5304,                0.00242,                0.06897,                0.00139,                 0.0004,                 2.4381,                 3.6002,                 2.5375,               0.090089,              0.0010891,              0.0010891
                      4,                 2.7011,                 3.5848,                 2.4981,                0.00428,                0.13286,                0.00254,                0.00062,                  2.463,                 3.6029,                 2.5464,               0.087382,              0.0013815,              0.0013815
                      5,                 2.3742,                 3.5818,                 2.3204,                0.00239,                0.06897,                0.00138,                0.00047,                 2.5497,                 3.5852,                 2.5934,               0.084672,               0.001672,               0.001672
                      6,                   2.48,                 3.5416,                 2.3747,                0.00379,                0.11562,                 0.0022,                0.00039,                  2.521,                 3.5642,                 2.5858,                0.08196,              0.0019604,              0.0019604
                      7,                 2.4173,                 3.5956,                 2.2506,                0.00185,                0.05172,                0.00103,                0.00024,                 2.5402,                 3.5556,                  2.562,               0.079247,              0.0022469,              0.0022469
                      8,                 2.4905,                 3.4587,                 2.3535,                 0.0032,                0.08621,                0.00237,                0.00035,                 2.5233,                 3.5564,                 2.5314,               0.076531,              0.0025314,              0.0025314
                      9,                  2.367,                 3.4882,                  2.362,                0.00332,                0.09838,                0.00227,                0.00059,                 2.5184,                 3.5268,                 2.4906,               0.073814,              0.0028139,              0.0028139
                     10,                 2.5131,                 3.6061,                 2.3138,                0.00468,                0.13286,                0.00328,                0.00078,                 2.4475,                 3.5522,                 2.4672,               0.071094,              0.0030944,              0.0030944
                     11,                  2.362,                 3.5168,                 2.1936,                0.00516,                 0.1501,                0.00405,                0.00121,                 2.3916,                 3.5778,                  2.437,               0.068373,              0.0033729,              0.0033729
                     12,                 2.3221,                 3.4195,                 2.2052,                0.00796,                0.26775,                0.00533,                0.00155,                 2.3801,                 3.6044,                  2.442,                0.06565,              0.0036495,              0.0036495
                     13,                 2.1665,                 3.4075,                 2.1468,                0.00726,                0.22617,                0.00953,                0.00296,                 2.3756,                 3.5536,                 2.3973,               0.062924,              0.0039241,              0.0039241
                     14,                 2.1317,                 3.4463,                  2.077,                0.00726,                0.22617,                0.00953,                0.00296,                 2.3756,                 3.5536,                 2.3973,               0.060197,              0.0041967,              0.0041967
                     15,                  2.142,                   3.42,                 2.1276,                0.00469,                0.14503,                0.00616,                0.00155,                 2.4004,                 3.5286,                  2.388,               0.057467,              0.0044673,              0.0044673
                     16,                 2.0658,                 3.4716,                 2.0225,                0.00605,                0.20385,                0.00573,                0.00154,                 2.4028,                 3.4592,                 2.3116,               0.054736,               0.004736,               0.004736
                     17,                 2.0213,                 3.3563,                  1.969,                0.00605,                0.20385,                0.00573,                0.00154,                 2.4028,                 3.4592,                 2.3116,               0.052003,              0.0050027,              0.0050027
                     18,                  2.082,                 3.4053,                 1.9565,                 0.0099,                0.36815,                0.01113,                0.00276,                 2.3783,                   3.43,                  2.163,               0.049267,              0.0052674,              0.0052674
                     19,                 1.9824,                 3.3521,                 2.0013,                0.01263,                0.40771,                0.01583,                0.00478,                 2.3612,                  3.382,                 2.0954,                0.04653,              0.0055301,              0.0055301
                     20,                  2.061,                 3.4249,                 1.9573,                0.01263,                0.40771,                0.01583,                0.00478,                 2.3612,                  3.382,                 2.0954,               0.043791,              0.0057908,              0.0057908
                     21,                 1.9752,                 3.3208,                 1.9185,                0.01579,                0.53043,                0.03772,                0.00921,                 2.4058,                 3.3607,                 2.1306,                0.04105,              0.0060495,              0.0060495
                     22,                 1.9001,                 3.3157,                 1.8328,                0.01579,                0.53043,                0.03772,                0.00921,                 2.4058,                 3.3607,                 2.1306,               0.038306,              0.0063063,              0.0063063
                     23,                 1.6997,                  3.186,                 1.7356,                 0.0144,                 0.4716,                0.04923,                0.01342,                 2.3448,                 3.3409,                 2.1016,               0.035561,              0.0065611,              0.0065611
                     24,                 1.9448,                 3.2718,                 1.8916,                 0.0144,                 0.4716,                0.04923,                0.01342,                 2.3448,                 3.3409,                 2.1016,               0.032814,              0.0068139,              0.0068139
                     25,                 1.8434,                 3.2294,                 1.8682,                0.01406,                0.48377,                0.04077,                0.00942,                 2.2227,                  3.355,                 2.0924,               0.030065,              0.0070648,              0.0070648
                     26,                 1.8784,                 3.2824,                 1.7858,                0.01406,                0.48377,                0.04077,                0.00942,                 2.2227,                  3.355,                 2.0924,               0.027314,              0.0073136,              0.0073136
                     27,                 1.7301,                 3.1082,                 1.7404,                0.01601,                0.54767,                0.06027,                0.01815,                 2.0998,                 3.2913,                 2.0521,                0.02456,              0.0075605,              0.0075605
                     28,                 1.7353,                 3.1358,                 1.7644,                0.01601,                0.54767,                0.06027,                0.01815,                 2.0998,                 3.2913,                 2.0521,               0.021805,              0.0078054,              0.0078054
                     29,                 1.7954,                 3.2502,                 1.7003,                0.01601,                0.54767,                0.06027,                0.01815,                 2.0998,                 3.2913,                 2.0521,               0.019048,              0.0080483,              0.0080483
